designator,family,depth_in,flange_in,mil,t_design_in,Fy_avail,A,wt_plf,Ix,Sx,rx,Iy,ry,J,Cw,xo_in,m_in,ro_in,beta,Lu_in,Ixe_33,Ixe_50,Ma_asd_33,Ma_asd_50,Ma_dist_asd_kipin_33,Ma_dist_asd_kipin_50,Sxe_33,Sxe_50,Va_asd_lb_33,Va_asd_lb_50,Va_net_asd_lb_33,Va_net_asd_lb_50
087F125-18,F,0.87,1.25,18,0.0188,33,0.072,0.244,0.009,,0.354,0.035,0.698,,,,,,,,0.008,,0.31932,,,,0.016,,255.0,,,
087F125-27,F,0.87,1.25,27,0.0283,33,0.107,0.365,0.013,,0.351,0.051,0.693,,,,,,,,0.013,,0.5424000000000001,,,,0.027,,381.0,,,
087F125-30,F,0.87,1.25,30,0.0312,33,0.118,0.401,0.014,,0.35,0.056,0.691,,,,,,,,0.014,,0.61176,,,,0.031,,420.0,,,
087F125-33,F,0.87,1.25,33,0.0346,33,0.13,0.443,0.016,,0.349,0.062,0.689,,,,,,,,0.016,,0.67476,,,,0.034,,464.0,,,
087F125-43,F,0.87,1.25,43,0.0451,33,0.168,0.572,0.02,,0.345,0.079,0.684,,,,,,,,0.02,,0.852,,,,0.043,,599.0,,,
150F125-18,F,1.5,1.25,18,0.0188,33,0.095,0.324,0.031,,0.572,0.052,0.742,,,,,,,,0.029,,0.68076,,,,0.034,,261.0,,,
150F125-27,F,1.5,1.25,27,0.0283,33,0.143,0.485,0.046,,0.569,0.077,0.737,,,,,,,,0.046,,1.1306399999999999,,,,0.057,,390.0,,,
150F125-30,F,1.5,1.25,30,0.0312,33,0.157,0.534,0.051,,0.568,0.085,0.735,,,,,,,,0.05,,1.27104,,,,0.064,,429.0,,,
150F125-33,F,1.5,1.25,33,0.0346,33,0.174,0.59,0.056,,0.566,0.093,0.733,,,,,,,,0.056,,1.40772,,,,0.071,,474.0,,,
150F125-43,F,1.5,1.25,43,0.0451,33,0.225,0.764,0.071,,0.563,0.119,0.728,,,,,,,,0.071,,1.7963999999999998,,,,0.091,,613.0,,,
162S125-18,S,1.62,1.25,18,0.0188,33,0.08,0.27,0.038,0.046,0.686,0.016,0.447,8.999999999999999e-06,0.009,-1.029,0.594,1.315,0.388,29.0,0.034,,0.62,,0.58,,0.031,,302.0,,100.0,
162S125-27,S,1.62,1.25,27,0.0283,33,0.12,0.41,0.056,0.069,0.682,0.023,0.443,3.2e-05,0.013,-1.018,0.587,1.303,0.39,29.1,0.055,,1.05,,0.99,,0.053,,494.0,,106.0,
162S125-30,S,1.62,1.25,30,0.0312,33,0.132,0.45,0.061,0.075,0.681,0.026,0.441,4.2999999999999995e-05,0.014,-1.014,0.585,1.299,0.39,29.2,0.06,,1.2,,1.13,,0.061,,543.0,,106.0,
162S125-33,S,1.62,1.25,33,0.0346,33,0.145,0.49,0.067,0.083,0.679,0.028,0.44,5.8e-05,0.016,-1.01,0.583,1.294,0.391,29.3,0.066,,1.38,,1.28,,0.07,,601.0,,105.0,
250S125-18,S,2.5,1.25,18,0.0188,33,0.097,0.33,0.099,0.079,1.014,0.019,0.439,1.1e-05,0.023,-0.904,0.543,1.428,0.599,29.0,0.09,,1.14,,0.93,,0.058,,258.0,,196.0,
250S125-27,S,2.5,1.25,27,0.0283,33,0.144,0.49,0.147,0.118,1.009,0.027,0.434,3.9e-05,0.034,-0.893,0.537,1.416,0.602,28.9,0.145,,1.89,,1.61,,0.096,,685.0,,354.0,
250S125-30,S,2.5,1.25,30,0.0312,33,0.159,0.54,0.161,0.129,1.008,0.03,0.433,5.2e-05,0.037,-0.89,0.535,1.413,0.603,28.9,0.159,,2.14,,1.84,,0.108,,833.0,,378.0,
