member,Fy,lateral_psf,height_ft,spacing_in,P_asd_kip,footnote
362S137-43,33,5.0,,12,2.08,a
362S137-54,50,5.0,,12,3.11,a
362S137-68,50,5.0,,12,4.05,a
362S137-33,50,5.0,,12,1.86,a
362S137-43,33,5.0,,12,2.52,a
600S137-54,33,5.0,,12,3.98,a
600S137-68,50,5.0,,12,5.11,a
600S137-97,50,5.0,,12,7.48,a
600S137-97,50,5.0,,12,2.26,a
600S137-33,33,5.0,,12,3.26,a
362S200-54,33,5.0,,12,5.05,a
362S200-68,50,5.0,,12,7.99,a
600S162-97,50,5.0,,12,9.2,a
600S162-43,33,5.0,,12,3.72,a
362S250-54,50,5.0,,12,5.74,a
362S250-68,50,5.0,,12,7.52,a
362S250-97,50,5.0,,12,10.57,a
362S137-43,33,5.0,8,16,2.02,a
362S137-54,50,5.0,8,16,3.07,a
362S137-68,50,5.0,8,16,4.01,a
362S137-33,50,5.0,8,16,1.8,a
362S137-43,33,5.0,8,16,2.46,a
600S137-54,33,5.0,8,16,3.93,a
600S137-68,50,5.0,8,16,5.07,a
600S137-97,50,5.0,8,16,7.43,a
600S137-97,50,5.0,8,16,2.2,a
600S137-33,33,5.0,8,16,3.2,a
362S200-54,33,5.0,8,16,5.0,a
362S200-68,50,5.0,8,16,7.92,a
600S162-97,50,5.0,8,16,9.15,a
600S162-43,33,5.0,8,16,3.65,a
362S250-54,50,5.0,8,16,5.68,a
362S250-68,50,5.0,8,16,7.46,a
362S250-97,50,5.0,8,16,10.51,a
362S137-43,33,5.0,8,24,1.91,a
362S137-54,50,5.0,8,24,2.98,a
362S137-68,50,5.0,8,24,3.93,a
362S137-33,50,5.0,8,24,1.68,a
362S137-43,33,5.0,8,24,2.35,a
600S137-54,33,5.0,8,24,3.84,a
600S137-68,50,5.0,8,24,4.98,a
600S137-97,50,5.0,8,24,7.35,a
600S137-97,50,5.0,8,24,2.06,a
600S137-33,33,5.0,8,24,3.07,a
362S200-54,33,5.0,8,24,4.88,a
362S200-68,50,5.0,8,24,7.79,a
600S162-97,50,5.0,8,24,9.06,a
600S162-43,33,5.0,8,24,3.51,a
362S250-54,50,5.0,8,24,5.55,a
362S250-68,50,5.0,8,24,7.34,a
362S250-97,50,5.0,8,24,10.41,a
362S137-43,33,5.0,8,12,1.98,a
362S137-54,50,5.0,8,12,2.93,a
362S137-68,50,5.0,8,12,3.82,a
362S137-33,50,5.0,8,12,1.75,a
362S137-43,33,5.0,8,12,2.38,a
600S137-54,33,5.0,8,12,3.74,a
600S137-68,50,5.0,8,12,4.78,a
600S137-97,50,5.0,8,12,6.97,a
600S137-97,50,5.0,8,12,2.14,a
600S137-33,33,5.0,8,12,3.09,a
362S200-54,33,5.0,8,12,4.72,a
362S200-68,50,5.0,8,12,7.48,a
600S162-97,50,5.0,8,12,8.54,a
600S162-43,33,5.0,8,12,3.56,a
362S250-54,50,5.0,8,12,5.44,a
362S250-68,50,5.0,8,12,7.0,a
362S250-97,50,5.0,8,12,9.83,a
362S137-43,33,5.0,9,16,1.91,a
362S137-54,50,5.0,9,16,2.88,a
362S137-68,50,5.0,9,16,3.78,a
362S137-33,50,5.0,9,16,1.68,a
362S137-43,33,5.0,9,16,2.31,a
600S137-54,33,5.0,9,16,3.68,a
600S137-68,50,5.0,9,16,4.73,a
600S137-97,50,5.0,9,16,6.92,a
600S137-97,50,5.0,9,16,2.06,a
600S137-33,33,5.0,9,16,3.01,a
362S200-54,33,5.0,9,16,4.65,a
362S200-68,50,5.0,9,16,7.4,a
600S162-97,50,5.0,9,16,8.49,a
600S162-43,33,5.0,9,16,3.47,a
362S250-54,50,5.0,9,16,5.36,a
362S250-68,50,5.0,9,16,6.93,a
362S250-97,50,5.0,9,16,9.77,a
362S137-43,33,5.0,9,24,1.78,a
362S137-54,50,5.0,9,24,2.77,a
362S137-68,50,5.0,9,24,3.68,a
362S137-33,50,5.0,9,24,1.53,a
362S137-43,33,5.0,9,24,2.17,a
600S137-54,33,5.0,9,24,3.56,a
600S137-68,50,5.0,9,24,4.63,a
600S137-97,50,5.0,9,24,6.81,a
600S137-97,50,5.0,9,24,1.9,a
600S137-33,33,5.0,9,24,2.85,a
362S200-54,33,5.0,9,24,4.52,a
362S200-68,50,5.0,9,24,7.24,a
600S162-97,50,5.0,9,24,8.38,a
600S162-43,33,5.0,9,24,3.3,a
362S250-54,50,5.0,9,24,5.22,a
362S250-68,50,5.0,9,24,6.79,a
362S250-97,50,5.0,9,24,9.64,a
362S137-43,33,5.0,9,12,1.87,a
362S137-54,50,5.0,9,12,2.72,a
362S137-68,50,5.0,9,12,3.55,a
362S137-33,50,5.0,9,12,1.63,a
362S137-43,33,5.0,9,12,2.09,a
600S137-54,33,5.0,9,12,3.47,a
600S137-68,50,5.0,9,12,4.42,a
600S137-97,50,5.0,9,12,6.41,a
600S137-97,50,5.0,9,12,2.01,a
600S137-33,33,5.0,9,12,2.9,a
362S200-54,33,5.0,9,12,4.35,a
362S200-68,50,5.0,9,12,6.88,a
600S162-97,50,5.0,9,12,7.83,a
600S162-43,33,5.0,9,12,3.38,a
362S250-54,50,5.0,9,12,5.1,a
362S250-68,50,5.0,9,12,6.43,a
362S250-97,50,5.0,9,12,9.05,a
362S137-43,33,5.0,10,16,1.79,a
362S137-54,50,5.0,10,16,2.66,a
362S137-68,50,5.0,10,16,3.5,a
362S137-33,50,5.0,10,16,1.54,a
362S137-43,33,5.0,10,16,2.02,a
600S137-54,33,5.0,10,16,3.4,a
600S137-68,50,5.0,10,16,4.36,a
600S137-97,50,5.0,10,16,6.35,a
600S137-97,50,5.0,10,16,1.91,a
600S137-33,33,5.0,10,16,2.81,a
362S200-54,33,5.0,10,16,4.27,a
362S200-68,50,5.0,10,16,6.79,a
600S162-97,50,5.0,10,16,7.77,a
600S162-43,33,5.0,10,16,3.28,a
362S250-54,50,5.0,10,16,5.01,a
362S250-68,50,5.0,10,16,6.35,a
362S250-97,50,5.0,10,16,8.97,a
362S137-43,33,5.0,10,24,1.62,a
362S137-54,50,5.0,10,24,2.54,a
362S137-68,50,5.0,10,24,3.39,a
362S137-33,50,5.0,10,24,1.37,a
362S137-43,33,5.0,10,24,1.86,a
600S137-54,33,5.0,10,24,3.26,a
600S137-68,50,5.0,10,24,4.24,a
600S137-97,50,5.0,10,24,6.23,a
600S137-97,50,5.0,10,24,1.72,a
600S137-33,33,5.0,10,24,2.62,a
362S200-54,33,5.0,10,24,4.12,a
362S200-68,50,5.0,10,24,6.61,a
600S162-97,50,5.0,10,24,7.64,a
600S162-43,33,5.0,10,24,3.08,a
362S250-54,50,5.0,10,24,4.84,a
362S250-68,50,5.0,10,24,6.2,a
362S250-97,50,5.0,10,24,8.83,a
362S137-43,33,5.0,10,12,1.6,a
362S137-54,50,5.0,10,12,2.29,a
