member,Fy,span_ft,w_asd_plf,footnote
550S162-33,33,3,931.0,e
550S162-33,33,4,698.0,e
550S162-33,33,5,535.0,e
550S162-33,33,6,371.0,e
550S162-33,33,8,209.0,e
550S162-33,33,10,127.0,e
550S162-33,33,12,74.0,e
550S162-43,33,3,2066.0,e
550S162-43,33,4,1203.0,e
550S162-43,33,5,770.0,e
550S162-43,33,6,535.0,e
550S162-43,33,8,301.0,e
550S162-43,33,10,165.0,e
550S162-43,33,12,95.0,e
550S162-54,33,3,2761.0,e
550S162-54,33,4,1553.0,e
550S162-54,33,5,994.0,e
550S162-54,33,6,690.0,e
550S162-54,33,8,388.0,e
550S162-54,33,10,203.0,e
550S162-54,33,12,118.0,
550S162-54,50,3,3617.0,e
550S162-54,50,4,2034.0,e
550S162-54,50,5,1302.0,e
550S162-54,50,6,904.0,e
550S162-54,50,8,397.0,e
550S162-54,50,10,203.0,e
550S162-54,50,12,118.0,
550S162-68,50,3,5032.0,e
550S162-68,50,4,2831.0,e
550S162-68,50,5,1812.0,e
550S162-68,50,6,1158.0,e
550S162-68,50,8,489.0,e
550S162-68,50,10,250.0,e
550S162-68,50,12,145.0,
600S137-33,33,3,850.0,e
600S137-33,33,4,638.0,e
600S137-33,33,5,465.0,e
600S137-33,33,6,323.0,e
600S137-33,33,8,182.0,e
600S137-33,33,10,116.0,e
600S137-33,33,12,78.0,e
600S162-33,33,3,851.0,e
600S162-33,33,4,638.0,e
600S162-33,33,5,510.0,e
600S162-33,33,6,420.0,e
600S162-33,33,8,236.0,e
600S162-33,33,10,151.0,e
600S162-33,33,12,91.0,e
600S200-33,33,3,851.0,e
600S200-33,33,4,638.0,e
600S200-33,33,5,510.0,e
600S200-33,33,6,425.0,e
600S200-33,33,8,251.0,e
600S200-33,33,10,161.0,e
600S200-33,33,12,104.0,e
600S137-43,33,3,1860.0,e
600S137-43,33,4,1046.0,e
600S137-43,33,5,670.0,e
600S137-43,33,6,465.0,e
600S137-43,33,8,262.0,e
600S137-43,33,10,167.0,e
600S137-43,33,12,103.0,e
600S162-43,33,3,1887.0,e
600S162-43,33,4,1357.0,e
600S162-43,33,5,869.0,e
600S162-43,33,6,603.0,e
600S162-43,33,8,339.0,e
600S162-43,33,10,202.0,e
600S162-43,33,12,117.0,e
600S200-43,33,3,1887.0,e
600S200-43,33,4,1415.0,e
600S200-43,33,5,915.0,e
600S200-43,33,6,636.0,e
600S200-43,33,8,358.0,e
600S200-43,33,10,229.0,e
600S200-43,33,12,136.0,e
600S250-43,33,3,1887.0,e
600S250-43,33,4,1415.0,e
600S250-43,33,5,958.0,e
600S250-43,33,6,665.0,e
600S250-43,33,8,374.0,e
600S250-43,33,10,240.0,e
600S250-43,33,12,156.0,e
600S137-54,33,3,2419.0,e
600S137-54,33,4,1361.0,e
600S137-54,33,5,871.0,e
600S137-54,33,6,605.0,e
600S137-54,33,8,340.0,e
600S137-54,33,10,218.0,e
600S137-54,33,12,127.0,
600S137-54,50,3,3393.0,e
600S137-54,50,4,1909.0,e
600S137-54,50,5,1222.0,e
600S137-54,50,6,848.0,e
600S137-54,50,8,430.0,e
600S137-54,50,10,220.0,e
600S137-54,50,12,127.0,
600S162-54,33,3,3119.0,e
600S162-54,33,4,1754.0,e
600S162-54,33,5,1123.0,e
600S162-54,33,6,780.0,e
600S162-54,33,8,439.0,e
600S162-54,33,10,250.0,e
600S162-54,33,12,145.0,e
600S162-54,50,3,3763.0,e
600S162-54,50,4,2299.0,e
600S162-54,50,5,1472.0,e
600S162-54,50,6,1022.0,e
600S162-54,50,8,488.0,e
