member,Fy,span_in,total_asd_plf,live_asd_plf
600S162-33,33,72,168.0,168.0
600S162-33,33,84,124.0,124.0
600S162-33,33,96,95.0,95.0
600S162-33,33,108,75.0,75.0
600S162-33,33,120,61.0,61.0
600S162-33,33,132,50.0,50.0
600S162-33,33,144,42.0,42.0
600S162-33,33,156,36.0,36.0
600S162-33,33,168,31.0,29.0
600S162-33,33,180,27.0,23.0
600S162-33,33,192,24.0,19.0
600S162-33,33,204,21.0,16.0
600S162-33,33,216,19.0,13.0
600S162-33,33,228,17.0,11.0
600S162-33,33,240,15.0,10.0
600S162-33,33,252,13.0,7.0
600S162-33,33,264,11.0,6.0
600S200-33,33,72,193.0,193.0
600S200-33,33,84,142.0,142.0
600S200-33,33,96,109.0,109.0
600S200-33,33,108,86.0,86.0
600S200-33,33,120,70.0,70.0
600S200-33,33,132,57.0,57.0
600S200-33,33,144,48.0,48.0
600S200-33,33,156,41.0,41.0
600S200-33,33,168,35.0,33.0
600S200-33,33,180,31.0,27.0
600S200-33,33,192,27.0,22.0
600S200-33,33,204,24.0,18.0
600S200-33,33,216,21.0,15.0
600S200-33,33,228,19.0,13.0
600S200-33,33,240,17.0,11.0
600S200-33,33,252,14.0,8.0
600S200-33,33,264,12.0,7.0
600S162-43,33,72,252.0,252.0
600S162-43,33,84,185.0,185.0
600S162-43,33,96,142.0,142.0
600S162-43,33,108,112.0,112.0
600S162-43,33,120,91.0,91.0
600S162-43,33,132,75.0,75.0
600S162-43,33,144,63.0,59.0
600S162-43,33,156,54.0,46.0
600S162-43,33,168,46.0,37.0
600S162-43,33,180,40.0,30.0
600S162-43,33,192,35.0,25.0
600S162-43,33,204,31.0,21.0
600S162-43,33,216,28.0,17.0
600S162-43,33,228,25.0,15.0
600S162-43,33,240,23.0,13.0
600S162-43,33,252,19.0,10.0
600S162-43,33,264,16.0,7.0
600S200-43,33,72,276.0,276.0
600S200-43,33,84,203.0,203.0
600S200-43,33,96,155.0,155.0
600S200-43,33,108,123.0,123.0
600S200-43,33,120,99.0,99.0
600S200-43,33,132,82.0,82.0
600S200-43,33,144,69.0,68.0
600S200-43,33,156,59.0,53.0
600S200-43,33,168,51.0,43.0
600S200-43,33,180,44.0,35.0
600S200-43,33,192,39.0,29.0
600S200-43,33,204,34.0,24.0
600S200-43,33,216,31.0,20.0
600S200-43,33,228,27.0,17.0
600S200-43,33,240,25.0,15.0
600S200-43,33,252,21.0,11.0
600S200-43,33,264,17.0,8.0
600S250-43,33,72,291.0,291.0
600S250-43,33,84,214.0,214.0
600S250-43,33,96,164.0,164.0
600S250-43,33,108,129.0,129.0
600S250-43,33,120,105.0,105.0
600S250-43,33,132,87.0,87.0
600S250-43,33,144,73.0,73.0
600S250-43,33,156,62.0,61.0
600S250-43,33,168,53.0,49.0
600S250-43,33,180,47.0,40.0
600S250-43,33,192,41.0,33.0
600S250-43,33,204,36.0,27.0
600S250-43,33,216,32.0,23.0
600S250-43,33,228,29.0,20.0
600S250-43,33,240,26.0,17.0
600S250-43,33,252,22.0,13.0
600S250-43,33,264,18.0,10.0
600S162-54,50,72,426.0,426.0
600S162-54,50,84,313.0,313.0
600S162-54,50,96,240.0,240.0
600S162-54,50,108,189.0,172.0
600S162-54,50,120,153.0,125.0
600S162-54,50,132,127.0,94.0
600S162-54,50,144,107.0,72.0
600S162-54,50,156,91.0,57.0
600S162-54,50,168,78.0,46.0
600S162-54,50,180,68.0,37.0
600S162-54,50,192,60.0,31.0
600S162-54,50,204,53.0,25.0
600S162-54,50,216,47.0,21.0
600S162-54,50,228,43.0,18.0
600S162-54,50,240,38.0,16.0
600S162-54,50,252,32.0,12.0
600S162-54,50,264,27.0,9.0
600S200-54,50,72,487.0,487.0
600S200-54,50,84,358.0,358.0
600S200-54,50,96,274.0,274.0
600S200-54,50,108,217.0,199.0
600S200-54,50,120,175.0,145.0
600S200-54,50,132,145.0,109.0
600S200-54,50,144,122.0,84.0
600S200-54,50,156,104.0,66.0
600S200-54,50,168,90.0,53.0
600S200-54,50,180,78.0,43.0
600S200-54,50,192,69.0,35.0
600S200-54,50,204,61.0,30.0
600S200-54,50,216,54.0,25.0
600S200-54,50,228,49.0,21.0
600S200-54,50,240,44.0,18.0
600S200-54,50,252,36.0,14.0
600S200-54,50,264,30.0,10.0
600S250-54,50,72,513.0,513.0
600S250-54,50,84,377.0,377.0
600S250-54,50,96,289.0,289.0
600S250-54,50,108,228.0,226.0
600S250-54,50,120,185.0,165.0
600S250-54,50,132,153.0,124.0
600S250-54,50,144,128.0,95.0
600S250-54,50,156,109.0,75.0
600S250-54,50,168,94.0,60.0
600S250-54,50,180,82.0,49.0
600S250-54,50,192,72.0,40.0
600S250-54,50,204,64.0,34.0
600S250-54,50,216,57.0,28.0
600S250-54,50,228,51.0,24.0
600S250-54,50,240,46.0,21.0
600S250-54,50,252,38.0,15.0
600S250-54,50,264,32.0,12.0
600S162-68,50,72,612.0,612.0
600S162-68,50,84,450.0,449.0
600S162-68,50,96,344.0,301.0
600S162-68,50,108,272.0,211.0
600S162-68,50,120,220.0,154.0
600S162-68,50,132,182.0,116.0
600S162-68,50,144,153.0,89.0
600S162-68,50,156,130.0,70.0
600S162-68,50,168,112.0,56.0
600S162-68,50,180,98.0,46.0
600S162-68,50,192,86.0,38.0
600S162-68,50,204,76.0,31.0
600S162-68,50,216,68.0,26.0
600S162-68,50,228,61.0,22.0
600S162-68,50,240,55.0,19.0
600S162-68,50,252,46.0,14.0
600S162-68,50,264,38.0,11.0
600S200-68,50,72,657.0,657.0
600S200-68,50,84,483.0,483.0
600S200-68,50,96,370.0,350.0
600S200-68,50,108,292.0,246.0
600S200-68,50,120,237.0,179.0
600S200-68,50,132,195.0,135.0
600S200-68,50,144,164.0,104.0
600S200-68,50,156,140.0,82.0
600S200-68,50,168,121.0,65.0
600S200-68,50,180,105.0,53.0
600S200-68,50,192,92.0,44.0
600S200-68,50,204,82.0,36.0
600S200-68,50,216,73.0,31.0
600S200-68,50,228,66.0,26.0
600S200-68,50,240,59.0,22.0
600S200-68,50,252,49.0,17.0
600S200-68,50,264,41.0,13.0
600S250-68,50,72,697.0,697.0
600S250-68,50,84,512.0,512.0
600S250-68,50,96,392.0,392.0
600S250-68,50,108,310.0,283.0
600S250-68,50,120,251.0,207.0
600S250-68,50,132,207.0,155.0
600S250-68,50,144,174.0,120.0
600S250-68,50,156,148.0,94.0
600S250-68,50,168,128.0,75.0
600S250-68,50,180,111.0,61.0
600S250-68,50,192,98.0,50.0
600S250-68,50,204,87.0,42.0
600S250-68,50,216,77.0,35.0
600S250-68,50,228,69.0,30.0
600S250-68,50,240,63.0,26.0
600S250-68,50,252,52.0,19.0
600S250-68,50,264,44.0,15.0
600S162-97,50,72,1005.0,971.0
600S162-97,50,84,738.0,612.0
600S162-97,50,96,565.0,410.0
600S162-97,50,108,447.0,288.0
600S162-97,50,120,362.0,210.0
600S162-97,50,132,299.0,158.0
600S162-97,50,144,251.0,121.0
600S162-97,50,156,214.0,95.0
600S162-97,50,168,185.0,76.0
600S162-97,50,180,161.0,62.0
600S162-97,50,192,141.0,51.0
600S162-97,50,204,125.0,43.0
600S162-97,50,216,112.0,36.0
600S162-97,50,228,100.0,31.0
600S162-97,50,240,90.0,26.0
600S162-97,50,252,75.0,20.0
600S162-97,50,264,63.0,15.0
600S200-97,50,72,1127.0,1127.0
600S200-97,50,84,828.0,715.0
600S200-97,50,96,634.0,479.0
600S200-97,50,108,501.0,337.0
600S200-97,50,120,406.0,245.0
600S200-97,50,132,335.0,184.0
600S200-97,50,144,282.0,142.0
600S200-97,50,156,240.0,112.0
600S200-97,50,168,207.0,89.0
600S200-97,50,180,180.0,73.0
600S200-97,50,192,158.0,60.0
600S200-97,50,204,140.0,50.0
600S200-97,50,216,125.0,42.0
600S200-97,50,228,112.0,36.0
600S200-97,50,240,101.0,31.0
600S200-97,50,252,84.0,23.0
600S200-97,50,264,70.0,18.0
600S250-97,50,72,1096.0,1096.0
600S250-97,50,84,805.0,805.0
600S250-97,50,96,616.0,555.0
600S250-97,50,108,487.0,390.0
600S250-97,50,120,395.0,284.0
600S250-97,50,132,326.0,213.0
600S250-97,50,144,274.0,164.0
600S250-97,50,156,233.0,129.0
600S250-97,50,168,201.0,104.0
600S250-97,50,180,175.0,84.0
600S250-97,50,192,154.0,69.0
600S250-97,50,204,137.0,58.0
600S250-97,50,216,122.0,49.0
600S250-97,50,228,109.0,41.0
600S250-97,50,240,99.0,36.0
600S250-97,50,252,82.0,27.0
600S250-97,50,264,68.0,21.0
800S162-43,33,72,326.0,326.0
800S162-43,33,84,240.0,240.0
800S162-43,33,96,184.0,184.0
800S162-43,33,108,145.0,145.0
800S162-43,33,120,117.0,117.0
800S162-43,33,132,97.0,97.0
800S162-43,33,144,82.0,82.0
800S162-43,33,156,70.0,70.0
800S162-43,33,168,60.0,60.0
800S162-43,33,180,52.0,52.0
800S162-43,33,192,46.0,46.0
800S162-43,33,204,41.0,40.0
800S162-43,33,216,36.0,34.0
800S162-43,33,228,33.0,29.0
800S162-43,33,240,29.0,25.0
800S162-43,33,252,24.0,18.0
800S162-43,33,264,20.0,14.0
800S162-54,50,72,580.0,580.0
800S162-54,50,84,426.0,426.0
800S162-54,50,96,326.0,326.0
800S162-54,50,108,258.0,258.0
800S162-54,50,120,209.0,209.0
800S162-54,50,132,173.0,173.0
800S162-54,50,144,145.0,142.0
800S162-54,50,156,124.0,112.0
800S162-54,50,168,107.0,89.0
800S162-54,50,180,93.0,73.0
800S162-54,50,192,82.0,60.0
800S162-54,50,204,72.0,50.0
800S162-54,50,216,64.0,42.0
800S162-54,50,228,58.0,36.0
800S162-54,50,240,52.0,31.0
800S162-54,50,252,43.0,23.0
800S162-54,50,264,36.0,18.0
800S200-54,50,72,667.0,667.0
800S200-54,50,84,490.0,490.0
800S200-54,50,96,375.0,375.0
800S200-54,50,108,296.0,296.0
800S200-54,50,120,240.0,240.0
800S200-54,50,132,198.0,198.0
800S200-54,50,144,167.0,166.0
800S200-54,50,156,142.0,131.0
800S200-54,50,168,122.0,105.0
800S200-54,50,180,107.0,85.0
800S200-54,50,192,94.0,70.0
800S200-54,50,204,83.0,58.0
800S200-54,50,216,74.0,49.0
800S200-54,50,228,67.0,42.0
800S200-54,50,240,60.0,36.0
800S200-54,50,252,50.0,27.0
800S200-54,50,264,42.0,21.0
800S162-68,50,72,794.0,794.0
800S162-68,50,84,584.0,584.0
800S162-68,50,96,447.0,447.0
800S162-68,50,108,353.0,353.0
800S162-68,50,120,286.0,286.0
800S162-68,50,132,236.0,232.0
800S162-68,50,144,199.0,179.0
800S162-68,50,156,169.0,141.0
800S162-68,50,168,146.0,113.0
800S162-68,50,180,127.0,92.0
800S162-68,50,192,112.0,75.0
800S162-68,50,204,99.0,63.0
800S162-68,50,216,88.0,53.0
800S162-68,50,228,79.0,45.0
800S162-68,50,240,71.0,39.0
800S162-68,50,252,59.0,29.0
800S162-68,50,264,50.0,22.0
800S200-68,50,72,910.0,910.0
800S200-68,50,84,668.0,668.0
800S200-68,50,96,512.0,512.0
800S200-68,50,108,404.0,404.0
800S200-68,50,120,328.0,328.0
800S200-68,50,132,271.0,267.0
800S200-68,50,144,227.0,206.0
800S200-68,50,156,194.0,162.0
800S200-68,50,168,167.0,130.0
800S200-68,50,180,146.0,105.0
800S200-68,50,192,128.0,87.0
800S200-68,50,204,113.0,72.0
800S200-68,50,216,101.0,61.0
800S200-68,50,228,91.0,52.0
800S200-68,50,240,82.0,44.0
800S200-68,50,252,68.0,33.0
800S200-68,50,264,57.0,26.0
800S250-68,50,72,960.0,960.0
800S250-68,50,84,705.0,705.0
800S250-68,50,96,540.0,540.0
800S250-68,50,108,427.0,427.0
800S250-68,50,120,346.0,346.0
800S250-68,50,132,286.0,286.0
800S250-68,50,144,240.0,234.0
800S250-68,50,156,205.0,184.0
