table,member,Fy,spacing_in,load_psf,defl_limit,height_in,footnote
nonstructural_composite,162S125-18,33,12,5,L/120,156.0,f
nonstructural_composite,162S125-18,33,12,5,L/240,133.0,
nonstructural_composite,162S125-18,33,12,5,L/360,118.0,
nonstructural_composite,162S125-18,33,12,7.5,L/120,128.0,f
nonstructural_composite,162S125-18,33,12,7.5,L/240,116.0,
nonstructural_composite,162S125-18,33,12,7.5,L/360,103.0,
nonstructural_composite,162S125-18,33,12,10,L/120,111.0,f
nonstructural_composite,162S125-18,33,12,10,L/240,105.0,
nonstructural_composite,162S125-18,33,12,10,L/360,93.0,
nonstructural_composite,162S125-18,33,16,5,L/120,135.0,f
nonstructural_composite,162S125-18,33,16,5,L/240,121.0,
nonstructural_composite,162S125-18,33,16,5,L/360,107.0,
nonstructural_composite,162S125-18,33,16,7.5,L/120,111.0,f
nonstructural_composite,162S125-18,33,16,7.5,L/240,105.0,
nonstructural_composite,162S125-18,33,16,7.5,L/360,93.0,
nonstructural_composite,162S125-18,33,16,10,L/120,96.0,f
nonstructural_composite,162S125-18,33,16,10,L/240,95.0,
nonstructural_composite,162S125-18,33,24,5,L/120,111.0,f
nonstructural_composite,162S125-18,33,24,5,L/240,105.0,
nonstructural_composite,162S125-18,33,24,5,L/360,93.0,
nonstructural_composite,162S125-27,33,12,5,L/120,177.0,
nonstructural_composite,162S125-27,33,12,5,L/240,140.0,
nonstructural_composite,162S125-27,33,12,5,L/360,122.0,
nonstructural_composite,162S125-27,33,12,7.5,L/120,154.0,
nonstructural_composite,162S125-27,33,12,7.5,L/240,122.0,
nonstructural_composite,162S125-27,33,12,7.5,L/360,103.0,
nonstructural_composite,162S125-27,33,12,10,L/120,140.0,
nonstructural_composite,162S125-27,33,12,10,L/240,109.0,
nonstructural_composite,162S125-27,33,12,10,L/360,90.0,
nonstructural_composite,162S125-27,33,12,15,L/120,102.0,
nonstructural_composite,162S125-27,33,16,5,L/120,160.0,
nonstructural_composite,162S125-27,33,16,5,L/240,127.0,
nonstructural_composite,162S125-27,33,16,5,L/360,109.0,
nonstructural_composite,162S125-27,33,16,7.5,L/120,140.0,
nonstructural_composite,162S125-27,33,16,7.5,L/240,109.0,
nonstructural_composite,162S125-27,33,16,7.5,L/360,90.0,
nonstructural_composite,162S125-27,33,16,10,L/120,127.0,
nonstructural_composite,162S125-27,33,16,10,L/240,95.0,
nonstructural_composite,162S125-27,33,24,5,L/120,140.0,
nonstructural_composite,162S125-27,33,24,5,L/240,109.0,
nonstructural_composite,162S125-27,33,24,7.5,L/120,122.0,
nonstructural_composite,162S125-27,33,24,10,L/120,109.0,
