member_series,kind,t_design_in,radius_in,Fy,condition,bearing_in,P_asd_lb
350S-30,single,0.0312,0.0781,33,1,1.0,135.0
350S-30,single,0.0312,0.0781,33,1,3.5,214.0
350S-30,single,0.0312,0.0781,33,1,4.0,226.0
350S-30,single,0.0312,0.0781,33,1,6.0,266.0
350S-30,single,0.0312,0.0781,33,2,1.0,259.0
350S-30,single,0.0312,0.0781,33,2,3.5,359.0
350S-30,single,0.0312,0.0781,33,2,4.0,374.0
350S-30,single,0.0312,0.0781,33,2,6.0,425.0
350S-30,single,0.0312,0.0781,33,3,1.0,103.0
350S-30,single,0.0312,0.0781,33,3,3.5,139.0
350S-30,single,0.0312,0.0781,33,3,4.0,144.0
350S-30,single,0.0312,0.0781,33,3,6.0,163.0
350S-30,single,0.0312,0.0781,33,4,1.0,306.0
350S-30,single,0.0312,0.0781,33,4,3.5,389.0
350S-30,single,0.0312,0.0781,33,4,4.0,402.0
350S-30,single,0.0312,0.0781,33,4,6.0,445.0
350S-33,single,0.0346,0.0764,33,1,1.0,166.0
350S-33,single,0.0346,0.0764,33,1,3.5,260.0
350S-33,single,0.0346,0.0764,33,1,4.0,274.0
350S-33,single,0.0346,0.0764,33,1,6.0,323.0
350S-33,single,0.0346,0.0764,33,2,1.0,324.0
350S-33,single,0.0346,0.0764,33,2,3.5,445.0
350S-33,single,0.0346,0.0764,33,2,4.0,463.0
350S-33,single,0.0346,0.0764,33,2,6.0,526.0
350S-33,single,0.0346,0.0764,33,3,1.0,131.0
350S-33,single,0.0346,0.0764,33,3,3.5,175.0
350S-33,single,0.0346,0.0764,33,3,4.0,182.0
350S-33,single,0.0346,0.0764,33,3,6.0,205.0
350S-33,single,0.0346,0.0764,33,4,1.0,384.0
350S-33,single,0.0346,0.0764,33,4,3.5,484.0
350S-33,single,0.0346,0.0764,33,4,4.0,499.0
350S-33,single,0.0346,0.0764,33,4,6.0,551.0
350S-43,single,0.0451,0.0712,33,1,1.0,278.0
350S-43,single,0.0451,0.0712,33,1,3.5,428.0
350S-43,single,0.0451,0.0712,33,1,4.0,451.0
350S-43,single,0.0451,0.0712,33,1,6.0,528.0
350S-43,single,0.0451,0.0712,33,2,1.0,571.0
350S-43,single,0.0451,0.0712,33,2,3.5,768.0
350S-43,single,0.0451,0.0712,33,2,4.0,798.0
350S-43,single,0.0451,0.0712,33,2,6.0,900.0
350S-43,single,0.0451,0.0712,33,3,1.0,240.0
350S-43,single,0.0451,0.0712,33,3,3.5,315.0
350S-43,single,0.0451,0.0712,33,3,4.0,326.0
350S-43,single,0.0451,0.0712,33,3,6.0,365.0
350S-43,single,0.0451,0.0712,33,4,1.0,680.0
350S-43,single,0.0451,0.0712,33,4,3.5,842.0
350S-43,single,0.0451,0.0712,33,4,4.0,866.0
350S-43,single,0.0451,0.0712,33,4,6.0,949.0
350S-54,single,0.0566,0.0849,33,1,1.0,420.0
350S-54,single,0.0566,0.0849,33,1,3.5,638.0
350S-54,single,0.0566,0.0849,33,1,4.0,670.0
350S-54,single,0.0566,0.0849,33,1,6.0,783.0
350S-54,single,0.0566,0.0849,33,2,1.0,879.0
350S-54,single,0.0566,0.0849,33,2,3.5,1162.0
350S-54,single,0.0566,0.0849,33,2,4.0,1204.0
350S-54,single,0.0566,0.0849,33,2,6.0,1351.0
350S-54,single,0.0566,0.0849,33,3,1.0,392.0
350S-54,single,0.0566,0.0849,33,3,3.5,507.0
350S-54,single,0.0566,0.0849,33,3,4.0,524.0
350S-54,single,0.0566,0.0849,33,3,6.0,583.0
350S-54,single,0.0566,0.0849,33,4,1.0,1086.0
350S-54,single,0.0566,0.0849,33,4,3.5,1324.0
350S-54,single,0.0566,0.0849,33,4,4.0,1359.0
350S-54,single,0.0566,0.0849,33,4,6.0,1482.0
350S-54,single,0.0566,0.0849,50,1,1.0,637.0
350S-54,single,0.0566,0.0849,50,1,3.5,967.0
350S-54,single,0.0566,0.0849,50,1,4.0,1016.0
350S-54,single,0.0566,0.0849,50,1,6.0,1186.0
350S-54,single,0.0566,0.0849,50,2,1.0,1331.0
350S-54,single,0.0566,0.0849,50,2,3.5,1761.0
350S-54,single,0.0566,0.0849,50,2,4.0,1825.0
350S-54,single,0.0566,0.0849,50,2,6.0,2046.0
350S-54,single,0.0566,0.0849,50,3,1.0,594.0
350S-54,single,0.0566,0.0849,50,3,3.5,768.0
350S-54,single,0.0566,0.0849,50,3,4.0,794.0
350S-54,single,0.0566,0.0849,50,3,6.0,883.0
350S-54,single,0.0566,0.0849,50,4,1.0,1645.0
350S-54,single,0.0566,0.0849,50,4,3.5,2005.0
350S-54,single,0.0566,0.0849,50,4,4.0,2059.0
350S-54,single,0.0566,0.0849,50,4,6.0,2245.0
350S-68,single,0.0713,0.1069,33,1,1.0,637.0
350S-68,single,0.0713,0.1069,33,1,3.5,951.0
350S-68,single,0.0713,0.1069,33,1,4.0,998.0
350S-68,single,0.0713,0.1069,33,1,6.0,1160.0
350S-68,single,0.0713,0.1069,33,2,1.0,1351.0
350S-68,single,0.0713,0.1069,33,2,3.5,1756.0
350S-68,single,0.0713,0.1069,33,2,4.0,1816.0
350S-68,single,0.0713,0.1069,33,2,6.0,2025.0
350S-68,single,0.0713,0.1069,33,3,1.0,640.0
350S-68,single,0.0713,0.1069,33,3,3.5,813.0
350S-68,single,0.0713,0.1069,33,3,4.0,839.0
350S-68,single,0.0713,0.1069,33,3,6.0,928.0
350S-68,single,0.0713,0.1069,33,4,1.0,1737.0
350S-68,single,0.0713,0.1069,33,4,3.5,2085.0
350S-68,single,0.0713,0.1069,33,4,4.0,2137.0
350S-68,single,0.0713,0.1069,33,4,6.0,2317.0
